"Name","Child Poverty by Race/Ethnicity"
"Description","Children under 18 years in households with incomes below the Federal Poverty Level (FPL) by race and ethnicity. Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Latino = Latino of any race. Due to small sample sizes in smaller geographies, data are presented in 3-year averages; 2019 = 2017-2019 3-year average."
Crown Heights North,Asian,2007,Number,73,308
Crown Heights North,Black,2007,Number,9568,308
Crown Heights North,Latino,2007,Number,1635,308
Crown Heights North,White,2007,Number,866,308
Crown Heights South,Asian,2007,Number,0,309
Crown Heights South,Black,2007,Number,6053,309
Crown Heights South,Latino,2007,Number,404,309
Crown Heights South,White,2007,Number,1535,309
Bay Ridge,Asian,2007,Number,1365,310
Bay Ridge,Black,2007,Number,177,310
Bay Ridge,Latino,2007,Number,1138,310
Bay Ridge,White,2007,Number,2587,310
Bensonhurst,Asian,2007,Number,2535,311
Bensonhurst,Black,2007,Number,0,311
Bensonhurst,Latino,2007,Number,1896,311
Bensonhurst,White,2007,Number,3898,311
Borough Park,Asian,2007,Number,2112,312
Borough Park,Black,2007,Number,315,312
Borough Park,Latino,2007,Number,2042,312
Borough Park,White,2007,Number,17308,312
Coney Island,Asian,2007,Number,767,313
Coney Island,Black,2007,Number,1367,313
Coney Island,Latino,2007,Number,1434,313
Coney Island,White,2007,Number,1591,313
Flatbush/Midwood,Asian,2007,Number,983,314
Flatbush/Midwood,Black,2007,Number,3258,314
Flatbush/Midwood,Latino,2007,Number,3735,314
Flatbush/Midwood,White,2007,Number,2054,314
Sheepshead Bay,Asian,2007,Number,644,315
Sheepshead Bay,Black,2007,Number,1118,315
Sheepshead Bay,Latino,2007,Number,1408,315
Sheepshead Bay,White,2007,Number,2424,315
Brownsville,Asian,2007,Number,0,316
Brownsville,Black,2007,Number,11359,316
Brownsville,Latino,2007,Number,6224,316
Brownsville,White,2007,Number,271,316
East Flatbush,Asian,2007,Number,0,317
East Flatbush,Black,2007,Number,6478,317
East Flatbush,Latino,2007,Number,674,317
East Flatbush,White,2007,Number,30,317
Canarsie,Asian,2007,Number,24,318
Canarsie,Black,2007,Number,3919,318
Canarsie,Latino,2007,Number,641,318
Canarsie,White,2007,Number,1389,318
Astoria,Asian,2007,Number,1493,401
Astoria,Black,2007,Number,1389,401
Astoria,Latino,2007,Number,3768,401
Astoria,White,2007,Number,1769,401
Sunnyside/Woodside,Asian,2007,Number,1504,402
Sunnyside/Woodside,Black,2007,Number,307,402
Sunnyside/Woodside,Latino,2007,Number,1836,402
Sunnyside/Woodside,White,2007,Number,1165,402
Jackson Heights,Asian,2007,Number,3265,403
Jackson Heights,Black,2007,Number,293,403
Jackson Heights,Latino,2007,Number,5347,403
Jackson Heights,White,2007,Number,330,403
Elmhurst/Corona,Asian,2007,Number,2346,404
Elmhurst/Corona,Black,2007,Number,72,404
Elmhurst/Corona,Latino,2007,Number,4448,404
Elmhurst/Corona,White,2007,Number,402,404
Ridgewood/Glendale,Asian,2007,Number,617,405
Ridgewood/Glendale,Black,2007,Number,0,405
Ridgewood/Glendale,Latino,2007,Number,5531,405
Ridgewood/Glendale,White,2007,Number,1798,405
Rego Park/Forest Hills,Asian,2007,Number,299,406
Rego Park/Forest Hills,Black,2007,Number,0,406
Rego Park/Forest Hills,Latino,2007,Number,64,406
Rego Park/Forest Hills,White,2007,Number,1100,406
Flushing,Asian,2007,Number,2689,407
Flushing,Black,2007,Number,170,407
Flushing,Latino,2007,Number,2088,407
Flushing,White,2007,Number,1144,407
Fresh Meadows/Briarwood,Asian,2007,Number,1087,408
Fresh Meadows/Briarwood,Black,2007,Number,437,408
Fresh Meadows/Briarwood,Latino,2007,Number,954,408
Fresh Meadows/Briarwood,White,2007,Number,820,408
Woodhaven,Asian,2007,Number,1153,409
Woodhaven,Black,2007,Number,514,409
Woodhaven,Latino,2007,Number,2801,409
Woodhaven,White,2007,Number,954,409
Howard Beach,Asian,2007,Number,1052,410
Howard Beach,Black,2007,Number,559,410
Howard Beach,Latino,2007,Number,1795,410
Howard Beach,White,2007,Number,593,410
Bayside,Asian,2007,Number,1292,411
Bayside,Black,2007,Number,84,411
Bayside,Latino,2007,Number,226,411
Bayside,White,2007,Number,634,411
Jamaica/St. Albans,Asian,2007,Number,740,412
Jamaica/St. Albans,Black,2007,Number,5671,412
Jamaica/St. Albans,Latino,2007,Number,2927,412
Jamaica/St. Albans,White,2007,Number,38,412
Queens Village,Asian,2007,Number,711,413
Queens Village,Black,2007,Number,1511,413
Queens Village,Latino,2007,Number,844,413
Queens Village,White,2007,Number,445,413
The Rockaways,Asian,2007,Number,37,414
The Rockaways,Black,2007,Number,4226,414
The Rockaways,Latino,2007,Number,2022,414
The Rockaways,White,2007,Number,1243,414
St. George,Asian,2007,Number,185,501
St. George,Black,2007,Number,4400,501
St. George,Latino,2007,Number,3032,501
St. George,White,2007,Number,1522,501
South Beach,Asian,2007,Number,125,502
South Beach,Black,2007,Number,150,502
South Beach,Latino,2007,Number,739,502
South Beach,White,2007,Number,2547,502
Tottenville,Asian,2007,Number,43,503
Tottenville,Black,2007,Number,0,503
Tottenville,Latino,2007,Number,165,503
Tottenville,White,2007,Number,1688,503
Bronx,Asian,2007,Number,3923,36005
Bronx,Black,2007,Number,40855,36005
Bronx,Latino,2007,Number,98778,36005
Bronx,White,2007,Number,3343,36005
Brooklyn,Asian,2007,Number,15373,36047
Brooklyn,Black,2007,Number,66769,36047
Brooklyn,Latino,2007,Number,63401,36047
Brooklyn,White,2007,Number,49989,36047
Manhattan,Asian,2007,Number,7465,36061
Manhattan,Black,2007,Number,19514,36061
Manhattan,Latino,2007,Number,39822,36061
Manhattan,White,2007,Number,4884,36061
Queens,Asian,2007,Number,18285,36081
Queens,Black,2007,Number,15233,36081
Queens,Latino,2007,Number,34651,36081
Queens,White,2007,Number,12435,36081
Staten Island,Asian,2007,Number,353,36085
Staten Island,Black,2007,Number,4550,36085
Staten Island,Latino,2007,Number,3936,36085
Staten Island,White,2007,Number,5757,36085
New York City,Asian,2007,Number,45399,3651000
New York City,Black,2007,Number,146921,3651000
New York City,Latino,2007,Number,240588,3651000
New York City,White,2007,Number,76408,3651000
Battery Park/Tribeca,Asian,2007,Percent,0.36546,101
Battery Park/Tribeca,Black,2007,Percent,0,101
Battery Park/Tribeca,Latino,2007,Percent,0.22453,101
Battery Park/Tribeca,White,2007,Percent,0.02294,101
Greenwich Village,Asian,2007,Percent,0.36546,102
Greenwich Village,Black,2007,Percent,0,102
Greenwich Village,Latino,2007,Percent,0.22453,102
Greenwich Village,White,2007,Percent,0.02294,102
Lower East Side,Asian,2007,Percent,0.509,103
Lower East Side,Black,2007,Percent,0.59455,103
Lower East Side,Latino,2007,Percent,0.44501,103
Lower East Side,White,2007,Percent,0.1211,103
Chelsea/Clinton,Asian,2007,Percent,0.30764,104
Chelsea/Clinton,Black,2007,Percent,0.32542,104
Chelsea/Clinton,Latino,2007,Percent,0.29196,104
Chelsea/Clinton,White,2007,Percent,0.046,104
Midtown Business District,Asian,2007,Percent,0.30764,105
Midtown Business District,Black,2007,Percent,0.32542,105
Midtown Business District,Latino,2007,Percent,0.29196,105
Midtown Business District,White,2007,Percent,0.046,105
Murray Hill/Stuyvesant,Asian,2007,Percent,0.10458,106
Murray Hill/Stuyvesant,Black,2007,Percent,0.12557,106
Murray Hill/Stuyvesant,Latino,2007,Percent,0.26702,106
Murray Hill/Stuyvesant,White,2007,Percent,0.06235,106
Upper West Side,Asian,2007,Percent,0.11135,107
Upper West Side,Black,2007,Percent,0.36059,107
Upper West Side,Latino,2007,Percent,0.26141,107
Upper West Side,White,2007,Percent,0.04024,107
Upper East Side,Asian,2007,Percent,0.05747,108
Upper East Side,Black,2007,Percent,0.43365,108
Upper East Side,Latino,2007,Percent,0.0201,108
Upper East Side,White,2007,Percent,0.01815,108
Manhattanville,Asian,2007,Percent,0.54127,109
Manhattanville,Black,2007,Percent,0.25656,109
Manhattanville,Latino,2007,Percent,0.52527,109
Manhattanville,White,2007,Percent,0.09969,109
Central Harlem,Asian,2007,Percent,0,110
Central Harlem,Black,2007,Percent,0.43341,110
Central Harlem,Latino,2007,Percent,0.4933,110
Central Harlem,White,2007,Percent,0,110
East Harlem,Asian,2007,Percent,0.12652,111
East Harlem,Black,2007,Percent,0.36808,111
East Harlem,Latino,2007,Percent,0.45277,111
East Harlem,White,2007,Percent,0.25123,111
Washington Heights,Asian,2007,Percent,0,112
Washington Heights,Black,2007,Percent,0.40506,112
Washington Heights,Latino,2007,Percent,0.4064,112
Washington Heights,White,2007,Percent,0.15323,112
Mott Haven,Asian,2007,Percent,0.72854,201
Mott Haven,Black,2007,Percent,0.57878,201
Mott Haven,Latino,2007,Percent,0.53792,201
Mott Haven,White,2007,Percent,0.48801,201
Hunts Point,Asian,2007,Percent,0.72854,202
Hunts Point,Black,2007,Percent,0.57878,202
Hunts Point,Latino,2007,Percent,0.53792,202
Hunts Point,White,2007,Percent,0.48801,202
Morrisania,Asian,2007,Percent,0.64109,203
Morrisania,Black,2007,Percent,0.44269,203
Morrisania,Latino,2007,Percent,0.53935,203
Morrisania,White,2007,Percent,0.19764,203
Concourse/Highbridge,Asian,2007,Percent,0.71678,204
Concourse/Highbridge,Black,2007,Percent,0.43518,204
Concourse/Highbridge,Latino,2007,Percent,0.49463,204
Concourse/Highbridge,White,2007,Percent,0.6822,204
University Heights,Asian,2007,Percent,0.52724,205
University Heights,Black,2007,Percent,0.56379,205
University Heights,Latino,2007,Percent,0.56561,205
University Heights,White,2007,Percent,0.2582,205
East Tremont,Asian,2007,Percent,0.64109,206
East Tremont,Black,2007,Percent,0.44269,206
East Tremont,Latino,2007,Percent,0.53935,206
East Tremont,White,2007,Percent,0.19764,206
Bedford Park,Asian,2007,Percent,0.55919,207
Bedford Park,Black,2007,Percent,0.32851,207
Bedford Park,Latino,2007,Percent,0.43242,207
Bedford Park,White,2007,Percent,0.20363,207
Riverdale,Asian,2007,Percent,0,208
Riverdale,Black,2007,Percent,0.2963,208
Riverdale,Latino,2007,Percent,0.32163,208
Riverdale,White,2007,Percent,0.03954,208
Unionport/Soundview,Asian,2007,Percent,0.26202,209
Unionport/Soundview,Black,2007,Percent,0.2402,209
Unionport/Soundview,Latino,2007,Percent,0.3698,209
Unionport/Soundview,White,2007,Percent,0.44846,209
Throgs Neck,Asian,2007,Percent,0,210
Throgs Neck,Black,2007,Percent,0.07423,210
Throgs Neck,Latino,2007,Percent,0.15171,210
Throgs Neck,White,2007,Percent,0.11557,210
Pelham Parkway,Asian,2007,Percent,0.31061,211
Pelham Parkway,Black,2007,Percent,0.22724,211
Pelham Parkway,Latino,2007,Percent,0.25938,211
Pelham Parkway,White,2007,Percent,0.09874,211
Williamsbridge,Asian,2007,Percent,0,212
Williamsbridge,Black,2007,Percent,0.13233,212
Williamsbridge,Latino,2007,Percent,0.41861,212
Williamsbridge,White,2007,Percent,0.01733,212
Williamsburg/Greenpoint,Asian,2007,Percent,0.31751,301
Williamsburg/Greenpoint,Black,2007,Percent,0.34848,301
Williamsburg/Greenpoint,Latino,2007,Percent,0.4969,301
Williamsburg/Greenpoint,White,2007,Percent,0.42746,301
Fort Greene/Brooklyn Hts,Asian,2007,Percent,0.33935,302
Fort Greene/Brooklyn Hts,Black,2007,Percent,0.31612,302
Fort Greene/Brooklyn Hts,Latino,2007,Percent,0.40307,302
Fort Greene/Brooklyn Hts,White,2007,Percent,0.11049,302
Bedford Stuyvesant,Asian,2007,Percent,0.75719,303
Bedford Stuyvesant,Black,2007,Percent,0.35413,303
Bedford Stuyvesant,Latino,2007,Percent,0.65966,303
Bedford Stuyvesant,White,2007,Percent,0.56878,303
Bushwick,Asian,2007,Percent,0.4125,304
Bushwick,Black,2007,Percent,0.41955,304
Bushwick,Latino,2007,Percent,0.49566,304
Bushwick,White,2007,Percent,0.32974,304
East New York,Asian,2007,Percent,0.31487,305
East New York,Black,2007,Percent,0.26939,305
East New York,Latino,2007,Percent,0.41989,305
East New York,White,2007,Percent,0.38577,305
Park Slope,Asian,2007,Percent,0.18182,306
Park Slope,Black,2007,Percent,0.43938,306
Park Slope,Latino,2007,Percent,0.36524,306
Park Slope,White,2007,Percent,0.03064,306
Sunset Park,Asian,2007,Percent,0.45146,307
Sunset Park,Black,2007,Percent,0.11352,307
Sunset Park,Latino,2007,Percent,0.34023,307
Sunset Park,White,2007,Percent,0.0958,307
Crown Heights North,Asian,2007,Percent,0.13985,308
Crown Heights North,Black,2007,Percent,0.37123,308
Crown Heights North,Latino,2007,Percent,0.38032,308
Crown Heights North,White,2007,Percent,0.28035,308
Crown Heights South,Asian,2007,Percent,0,309
Crown Heights South,Black,2007,Percent,0.29634,309
Crown Heights South,Latino,2007,Percent,0.13676,309
Crown Heights South,White,2007,Percent,0.35706,309
Bay Ridge,Asian,2007,Percent,0.24198,310
Bay Ridge,Black,2007,Percent,0.4876,310
Bay Ridge,Latino,2007,Percent,0.19881,310
Bay Ridge,White,2007,Percent,0.19966,310
Bensonhurst,Asian,2007,Percent,0.18992,311
Bensonhurst,Black,2007,Percent,0,311
Bensonhurst,Latino,2007,Percent,0.40153,311
Bensonhurst,White,2007,Percent,0.20848,311
Borough Park,Asian,2007,Percent,0.34319,312
Borough Park,Black,2007,Percent,0.25527,312
Borough Park,Latino,2007,Percent,0.37331,312
Borough Park,White,2007,Percent,0.38502,312
Coney Island,Asian,2007,Percent,0.31293,313
Coney Island,Black,2007,Percent,0.34538,313
Coney Island,Latino,2007,Percent,0.32852,313
Coney Island,White,2007,Percent,0.18735,313
Flatbush/Midwood,Asian,2007,Percent,0.40337,314
Flatbush/Midwood,Black,2007,Percent,0.21282,314
Flatbush/Midwood,Latino,2007,Percent,0.54814,314
Flatbush/Midwood,White,2007,Percent,0.11551,314
Sheepshead Bay,Asian,2007,Percent,0.15477,315
Sheepshead Bay,Black,2007,Percent,0.72316,315
Sheepshead Bay,Latino,2007,Percent,0.42615,315
Sheepshead Bay,White,2007,Percent,0.11196,315
Brownsville,Asian,2007,Percent,0,316
Brownsville,Black,2007,Percent,0.40139,316
Brownsville,Latino,2007,Percent,0.65316,316
Brownsville,White,2007,Percent,0.7591,316
East Flatbush,Asian,2007,Percent,0,317
East Flatbush,Black,2007,Percent,0.20695,317
East Flatbush,Latino,2007,Percent,0.21905,317
East Flatbush,White,2007,Percent,0.375,317
Canarsie,Asian,2007,Percent,0.03204,318
Canarsie,Black,2007,Percent,0.12008,318
Canarsie,Latino,2007,Percent,0.18737,318
Canarsie,White,2007,Percent,0.11576,318
Astoria,Asian,2007,Percent,0.2692,401
Astoria,Black,2007,Percent,0.45917,401
Astoria,Latino,2007,Percent,0.27598,401
Astoria,White,2007,Percent,0.16234,401
Sunnyside/Woodside,Asian,2007,Percent,0.14386,402
Sunnyside/Woodside,Black,2007,Percent,0.72922,402
Sunnyside/Woodside,Latino,2007,Percent,0.18318,402
Sunnyside/Woodside,White,2007,Percent,0.27175,402
Jackson Heights,Asian,2007,Percent,0.42491,403
Jackson Heights,Black,2007,Percent,0.16152,403
Jackson Heights,Latino,2007,Percent,0.19802,403
Jackson Heights,White,2007,Percent,0.09582,403
Elmhurst/Corona,Asian,2007,Percent,0.25721,404
Elmhurst/Corona,Black,2007,Percent,0.0479,404
Elmhurst/Corona,Latino,2007,Percent,0.27087,404
Elmhurst/Corona,White,2007,Percent,0.27553,404
Ridgewood/Glendale,Asian,2007,Percent,0.24111,405
Ridgewood/Glendale,Black,2007,Percent,0,405
Ridgewood/Glendale,Latino,2007,Percent,0.28021,405
Ridgewood/Glendale,White,2007,Percent,0.09909,405
Rego Park/Forest Hills,Asian,2007,Percent,0.05603,406
Rego Park/Forest Hills,Black,2007,Percent,0,406
Rego Park/Forest Hills,Latino,2007,Percent,0.02167,406
Rego Park/Forest Hills,White,2007,Percent,0.10535,406
Flushing,Asian,2007,Percent,0.14987,407
Flushing,Black,2007,Percent,0.16268,407
Flushing,Latino,2007,Percent,0.23411,407
Flushing,White,2007,Percent,0.07593,407
Fresh Meadows/Briarwood,Asian,2007,Percent,0.1112,408
Fresh Meadows/Briarwood,Black,2007,Percent,0.11111,408
Fresh Meadows/Briarwood,Latino,2007,Percent,0.19027,408
Fresh Meadows/Briarwood,White,2007,Percent,0.0726,408
Woodhaven,Asian,2007,Percent,0.15229,409
Woodhaven,Black,2007,Percent,0.18657,409
Woodhaven,Latino,2007,Percent,0.18916,409
Woodhaven,White,2007,Percent,0.14639,409
Howard Beach,Asian,2007,Percent,0.16217,410
Howard Beach,Black,2007,Percent,0.08433,410
Howard Beach,Latino,2007,Percent,0.21118,410
Howard Beach,White,2007,Percent,0.10054,410
Bayside,Asian,2007,Percent,0.15095,411
Bayside,Black,2007,Percent,0.19811,411
Bayside,Latino,2007,Percent,0.08958,411
Bayside,White,2007,Percent,0.07015,411
Jamaica/St. Albans,Asian,2007,Percent,0.12695,412
Jamaica/St. Albans,Black,2007,Percent,0.15408,412
Jamaica/St. Albans,Latino,2007,Percent,0.31205,412
Jamaica/St. Albans,White,2007,Percent,0.04025,412
Queens Village,Asian,2007,Percent,0.09595,413
Queens Village,Black,2007,Percent,0.05388,413
Queens Village,Latino,2007,Percent,0.1406,413
Queens Village,White,2007,Percent,0.15292,413
The Rockaways,Asian,2007,Percent,0.13504,414
The Rockaways,Black,2007,Percent,0.29681,414
The Rockaways,Latino,2007,Percent,0.26043,414
The Rockaways,White,2007,Percent,0.11254,414
St. George,Asian,2007,Percent,0.05188,501
St. George,Black,2007,Percent,0.32379,501
St. George,Latino,2007,Percent,0.22107,501
St. George,White,2007,Percent,0.11088,501
South Beach,Asian,2007,Percent,0.04587,502
South Beach,Black,2007,Percent,0.13825,502
South Beach,Latino,2007,Percent,0.20269,502
South Beach,White,2007,Percent,0.11592,502
Tottenville,Asian,2007,Percent,0.03365,503
Tottenville,Black,2007,Percent,0,503
Tottenville,Latino,2007,Percent,0.0388,503
Tottenville,White,2007,Percent,0.04986,503
Bronx,Asian,2007,Percent,0.36177,36005
Bronx,Black,2007,Percent,0.33583,36005
Bronx,Latino,2007,Percent,0.45321,36005
Bronx,White,2007,Percent,0.12008,36005
Brooklyn,Asian,2007,Percent,0.29054,36047
Brooklyn,Black,2007,Percent,0.28848,36047
Brooklyn,Latino,2007,Percent,0.42863,36047
Brooklyn,White,2007,Percent,0.25134,36047
Manhattan,Asian,2007,Percent,0.31977,36061
Manhattan,Black,2007,Percent,0.3976,36061
Manhattan,Latino,2007,Percent,0.41959,36061
Manhattan,White,2007,Percent,0.05159,36061
Queens,Asian,2007,Percent,0.1749,36081
Queens,Black,2007,Percent,0.15027,36081
Queens,Latino,2007,Percent,0.22692,36081
Queens,White,2007,Percent,0.11164,36081
Staten Island,Asian,2007,Percent,0.04664,36085
Staten Island,Black,2007,Percent,0.3037,36085
Staten Island,Latino,2007,Percent,0.1821,36085
Staten Island,White,2007,Percent,0.08277,36085
New York City,Asian,2007,Percent,0.22789,3651000
New York City,Black,2007,Percent,0.28334,3651000
New York City,Latino,2007,Percent,0.37882,3651000
New York City,White,2007,Percent,0.1521,3651000
Battery Park/Tribeca,Asian,2008,Number,516.92014,101
Battery Park/Tribeca,Black,2008,Number,0,101
Battery Park/Tribeca,Latino,2008,Number,119.53778,101
Battery Park/Tribeca,White,2008,Number,188.59508,101
Greenwich Village,Asian,2008,Number,763.07986,102
Greenwich Village,Black,2008,Number,0,102
Greenwich Village,Latino,2008,Number,176.46222,102
Greenwich Village,White,2008,Number,278.40492,102
Lower East Side,Asian,2008,Number,4099,103
Lower East Side,Black,2008,Number,1927,103
Lower East Side,Latino,2008,Number,2568,103
Lower East Side,White,2008,Number,917,103
Chelsea/Clinton,Asian,2008,Number,181.94067,104
Chelsea/Clinton,Black,2008,Number,263.91394,104
Chelsea/Clinton,Latino,2008,Number,397.87026,104
Chelsea/Clinton,White,2008,Number,209.93154,104
Midtown Business District,Asian,2008,Number,91.05933,105
Midtown Business District,Black,2008,Number,132.08606,105
Midtown Business District,Latino,2008,Number,199.12974,105
Midtown Business District,White,2008,Number,105.06846,105
Murray Hill/Stuyvesant,Asian,2008,Number,263,106
Murray Hill/Stuyvesant,Black,2008,Number,47,106
Murray Hill/Stuyvesant,Latino,2008,Number,660,106
Murray Hill/Stuyvesant,White,2008,Number,432,106
Upper West Side,Asian,2008,Number,806,107
Upper West Side,Black,2008,Number,537,107
Upper West Side,Latino,2008,Number,1061,107
Upper West Side,White,2008,Number,1017,107
Upper East Side,Asian,2008,Number,0,108
Upper East Side,Black,2008,Number,519,108
Upper East Side,Latino,2008,Number,79,108
Upper East Side,White,2008,Number,565,108
Manhattanville,Asian,2008,Number,325,109
Manhattanville,Black,2008,Number,1294,109
Manhattanville,Latino,2008,Number,5686,109
Manhattanville,White,2008,Number,0,109
Central Harlem,Asian,2008,Number,449,110
Central Harlem,Black,2008,Number,7661,110
Central Harlem,Latino,2008,Number,3520,110
Central Harlem,White,2008,Number,66,110
East Harlem,Asian,2008,Number,250,111
East Harlem,Black,2008,Number,3635,111
