"Name","Child Poverty"
"Description","Children under 18 years in households with incomes below the Federal Poverty Level (FPL)."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table S1701 (2005-2019); retrieved&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a><a href=""http://factfinder2.census.gov/"" target=""_blank""></a>."
"Notes","The Federal Poverty Level (FPL) is an income threshold calculated by the U.S. Census Bureau each year for the purpose of estimating the number of individuals and households living in poverty. The income threshold varies based on the number of children and adults in a household and the age of the head of household. In 2019, the FPL for a household consisting of two adults and two children was $25,750. The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of children for whom poverty status was determined.&nbsp;"

Location,TimeFrame,DataFormat,Data,Fips
Woodhaven,2009,Percent,0.14723,409
Howard Beach,2009,Percent,0.09482,410
Bayside,2009,Percent,0.07868,411
Jamaica/St. Albans,2009,Percent,0.19228,412
Queens Village,2009,Percent,0.0763,413
The Rockaways,2009,Percent,0.28139,414
St. George,2009,Percent,0.23814,501
South Beach,2009,Percent,0.1398,502
Tottenville,2009,Percent,0.04709,503
Bronx,2009,Percent,0.40355,36005
Brooklyn,2009,Percent,0.31461,36047
Manhattan,2009,Percent,0.24534,36061
Queens,2009,Percent,0.15437,36081
Staten Island,2009,Percent,0.15177,36085
New York City,2009,Percent,0.27109,3651000
Battery Park/Tribeca,2008,Percent,0.0675,101
Greenwich Village,2008,Percent,0.0675,102
Lower East Side,2008,Percent,0.33744,103
Chelsea/Clinton,2008,Percent,0.18109,104
Midtown Business District,2008,Percent,0.18109,105
Murray Hill/Stuyvesant,2008,Percent,0.03674,106
Upper West Side,2008,Percent,0.11826,107
Upper East Side,2008,Percent,0.03606,108
Manhattanville,2008,Percent,0.37022,109
Central Harlem,2008,Percent,0.35147,110
East Harlem,2008,Percent,0.31574,111
Washington Heights,2008,Percent,0.30887,112
Mott Haven,2008,Percent,0.55013,201
Hunts Point,2008,Percent,0.55013,202
Morrisania,2008,Percent,0.55888,203
Concourse/Highbridge,2008,Percent,0.52156,204
University Heights,2008,Percent,0.48047,205
East Tremont,2008,Percent,0.55888,206
Bedford Park,2008,Percent,0.42023,207
Riverdale,2008,Percent,0.21692,208
Unionport/Soundview,2008,Percent,0.30168,209
Throgs Neck,2008,Percent,0.1645,210
Pelham Parkway,2008,Percent,0.26224,211
Williamsbridge,2008,Percent,0.25259,212
Williamsburg/Greenpoint,2008,Percent,0.4722,301
Fort Greene/Brooklyn Hts,2008,Percent,0.33392,302
Bedford Stuyvesant,2008,Percent,0.39644,303
Bushwick,2008,Percent,0.35002,304
East New York,2008,Percent,0.38381,305
Park Slope,2008,Percent,0.14146,306
Sunset Park,2008,Percent,0.32484,307
Crown Heights North,2008,Percent,0.38365,308
Crown Heights South,2008,Percent,0.2499,309
Bay Ridge,2008,Percent,0.16173,310
Bensonhurst,2008,Percent,0.23749,311
Borough Park,2008,Percent,0.38476,312
Coney Island,2008,Percent,0.19878,313
Flatbush/Midwood,2008,Percent,0.30188,314
Sheepshead Bay,2008,Percent,0.14141,315
Brownsville,2008,Percent,0.40608,316
East Flatbush,2008,Percent,0.16548,317
Canarsie,2008,Percent,0.17244,318
Astoria,2008,Percent,0.27695,401
Sunnyside/Woodside,2008,Percent,0.1284,402
Jackson Heights,2008,Percent,0.23897,403
Elmhurst/Corona,2008,Percent,0.26689,404
Ridgewood/Glendale,2008,Percent,0.14884,405
Rego Park/Forest Hills,2008,Percent,0.05427,406
Flushing,2008,Percent,0.1521,407
Fresh Meadows/Briarwood,2008,Percent,0.09597,408
Woodhaven,2008,Percent,0.16385,409
Howard Beach,2008,Percent,0.20097,410
Bayside,2008,Percent,0.083,411
Jamaica/St. Albans,2008,Percent,0.16964,412
Queens Village,2008,Percent,0.08764,413
The Rockaways,2008,Percent,0.19302,414
St. George,2008,Percent,0.28802,501
South Beach,2008,Percent,0.11155,502
Tottenville,2008,Percent,0.02107,503
Bronx,2008,Percent,0.39735,36005
Brooklyn,2008,Percent,0.30352,36047
Manhattan,2008,Percent,0.21799,36061
Queens,2008,Percent,0.16365,36081
Staten Island,2008,Percent,0.14795,36085
New York City,2008,Percent,0.26504,3651000
Battery Park/Tribeca,2007,Percent,0.07414,101
Greenwich Village,2007,Percent,0.07414,102
Lower East Side,2007,Percent,0.46631,103
Chelsea/Clinton,2007,Percent,0.26452,104
Midtown Business District,2007,Percent,0.26452,105
Murray Hill/Stuyvesant,2007,Percent,0.17801,106
Upper West Side,2007,Percent,0.11446,107
Upper East Side,2007,Percent,0.04056,108
Manhattanville,2007,Percent,0.32218,109
Central Harlem,2007,Percent,0.41801,110
East Harlem,2007,Percent,0.339,111
Washington Heights,2007,Percent,0.42425,112
Mott Haven,2007,Percent,0.5585,201
Hunts Point,2007,Percent,0.5585,202
Morrisania,2007,Percent,0.50724,203
Concourse/Highbridge,2007,Percent,0.49751,204
University Heights,2007,Percent,0.50667,205
East Tremont,2007,Percent,0.50724,206
Bedford Park,2007,Percent,0.43084,207
Riverdale,2007,Percent,0.19054,208
Unionport/Soundview,2007,Percent,0.296,209
Throgs Neck,2007,Percent,0.08854,210
Pelham Parkway,2007,Percent,0.27059,211
Williamsbridge,2007,Percent,0.19724,212
Williamsburg/Greenpoint,2007,Percent,0.4376,301
Fort Greene/Brooklyn Hts,2007,Percent,0.31168,302
Bedford Stuyvesant,2007,Percent,0.53015,303
Bushwick,2007,Percent,0.45237,304
East New York,2007,Percent,0.34431,305
Park Slope,2007,Percent,0.11595,306
Sunset Park,2007,Percent,0.33533,307
Crown Heights North,2007,Percent,0.39388,308
Crown Heights South,2007,Percent,0.31825,309
Bay Ridge,2007,Percent,0.20147,310
Bensonhurst,2007,Percent,0.18253,311
Borough Park,2007,Percent,0.38211,312
Coney Island,2007,Percent,0.31313,313
Flatbush/Midwood,2007,Percent,0.28508,314
Sheepshead Bay,2007,Percent,0.23799,315
Brownsville,2007,Percent,0.46424,316
East Flatbush,2007,Percent,0.16339,317
Canarsie,2007,Percent,0.09448,318
Astoria,2007,Percent,0.2432,401
Sunnyside/Woodside,2007,Percent,0.15521,402
Jackson Heights,2007,Percent,0.22907,403
Elmhurst/Corona,2007,Percent,0.19513,404
Ridgewood/Glendale,2007,Percent,0.17394,405
Rego Park/Forest Hills,2007,Percent,0.03967,406
Flushing,2007,Percent,0.1304,407
Fresh Meadows/Briarwood,2007,Percent,0.19266,408
Woodhaven,2007,Percent,0.14104,409
Howard Beach,2007,Percent,0.1435,410
Bayside,2007,Percent,0.09033,411
Jamaica/St. Albans,2007,Percent,0.25412,412
Queens Village,2007,Percent,0.05658,413
The Rockaways,2007,Percent,0.19526,414
St. George,2007,Percent,0.21468,501
South Beach,2007,Percent,0.08137,502
Tottenville,2007,Percent,0.05025,503
Bronx,2007,Percent,0.38104,36005
Brooklyn,2007,Percent,0.31713,36047
Manhattan,2007,Percent,0.27496,36061
Queens,2007,Percent,0.16535,36081
Staten Island,2007,Percent,0.12389,36085
New York City,2007,Percent,0.27341,3651000
Battery Park/Tribeca,2006,Percent,0.15304,101
Greenwich Village,2006,Percent,0.15304,102
Lower East Side,2006,Percent,0.39324,103
Chelsea/Clinton,2006,Percent,0.19421,104
Midtown Business District,2006,Percent,0.19421,105
Murray Hill/Stuyvesant,2006,Percent,0.02713,106
Upper West Side,2006,Percent,0.05958,107
Upper East Side,2006,Percent,0.02546,108
Manhattanville,2006,Percent,0.39558,109
Central Harlem,2006,Percent,0.33703,110
East Harlem,2006,Percent,0.46397,111
Washington Heights,2006,Percent,0.43276,112
Mott Haven,2006,Percent,0.5634,201
Hunts Point,2006,Percent,0.5634,202
Morrisania,2006,Percent,0.55158,203
Concourse/Highbridge,2006,Percent,0.49316,204
University Heights,2006,Percent,0.55063,205
East Tremont,2006,Percent,0.55158,206
Bedford Park,2006,Percent,0.4762,207
Riverdale,2006,Percent,0.24826,208
Unionport/Soundview,2006,Percent,0.38108,209
Throgs Neck,2006,Percent,0.12009,210
Pelham Parkway,2006,Percent,0.22982,211
Williamsbridge,2006,Percent,0.23422,212
Williamsburg/Greenpoint,2006,Percent,0.58175,301
Fort Greene/Brooklyn Hts,2006,Percent,0.26177,302
Bedford Stuyvesant,2006,Percent,0.53044,303
Bushwick,2006,Percent,0.44756,304
East New York,2006,Percent,0.32376,305
Park Slope,2006,Percent,0.17142,306
Sunset Park,2006,Percent,0.28027,307
Crown Heights North,2006,Percent,0.32816,308
Crown Heights South,2006,Percent,0.32295,309
Bay Ridge,2006,Percent,0.18881,310
Bensonhurst,2006,Percent,0.2439,311
Borough Park,2006,Percent,0.32803,312
Coney Island,2006,Percent,0.2658,313
Flatbush/Midwood,2006,Percent,0.23294,314
Sheepshead Bay,2006,Percent,0.23088,315
Brownsville,2006,Percent,0.51695,316
East Flatbush,2006,Percent,0.28986,317
Canarsie,2006,Percent,0.14093,318
Astoria,2006,Percent,0.29833,401
Sunnyside/Woodside,2006,Percent,0.25224,402
Jackson Heights,2006,Percent,0.21803,403
Elmhurst/Corona,2006,Percent,0.25675,404
Ridgewood/Glendale,2006,Percent,0.13251,405
Rego Park/Forest Hills,2006,Percent,0.12784,406
Flushing,2006,Percent,0.14094,407
Fresh Meadows/Briarwood,2006,Percent,0.0891,408
Woodhaven,2006,Percent,0.20575,409
Howard Beach,2006,Percent,0.13798,410
Bayside,2006,Percent,0.08676,411
Jamaica/St. Albans,2006,Percent,0.12985,412
Queens Village,2006,Percent,0.07529,413
The Rockaways,2006,Percent,0.26395,414
St. George,2006,Percent,0.21504,501
South Beach,2006,Percent,0.10289,502
Tottenville,2006,Percent,0.03281,503
Bronx,2006,Percent,0.41326,36005
Brooklyn,2006,Percent,0.32275,36047
Manhattan,2006,Percent,0.27107,36061
Queens,2006,Percent,0.17008,36081
Staten Island,2006,Percent,0.11805,36085
New York City,2006,Percent,0.28186,3651000
Battery Park/Tribeca,2005,Percent,0.07596,101
Greenwich Village,2005,Percent,0.07596,102
Lower East Side,2005,Percent,0.43301,103
Chelsea/Clinton,2005,Percent,0.14015,104
Midtown Business District,2005,Percent,0.14015,105
Murray Hill/Stuyvesant,2005,Percent,0.0517,106
Upper West Side,2005,Percent,0.10917,107
Upper East Side,2005,Percent,0.05628,108
Manhattanville,2005,Percent,0.48173,109
Central Harlem,2005,Percent,0.50913,110
East Harlem,2005,Percent,0.38885,111
Washington Heights,2005,Percent,0.36617,112
Mott Haven,2005,Percent,0.631,201
Hunts Point,2005,Percent,0.631,202
Morrisania,2005,Percent,0.51195,203
Concourse/Highbridge,2005,Percent,0.44175,204
University Heights,2005,Percent,0.58635,205
East Tremont,2005,Percent,0.51195,206
Bedford Park,2005,Percent,0.3602,207
Riverdale,2005,Percent,0.22433,208
Unionport/Soundview,2005,Percent,0.31141,209
Throgs Neck,2005,Percent,0.13743,210
Pelham Parkway,2005,Percent,0.21298,211
Williamsbridge,2005,Percent,0.22325,212
Williamsburg/Greenpoint,2005,Percent,0.49049,301
Fort Greene/Brooklyn Hts,2005,Percent,0.23678,302
Bedford Stuyvesant,2005,Percent,0.351,303
Bushwick,2005,Percent,0.47738,304
East New York,2005,Percent,0.35747,305
Park Slope,2005,Percent,0.17076,306
Sunset Park,2005,Percent,0.34437,307
Crown Heights North,2005,Percent,0.30903,308
Crown Heights South,2005,Percent,0.24098,309
Bay Ridge,2005,Percent,0.21319,310
Bensonhurst,2005,Percent,0.25894,311
Borough Park,2005,Percent,0.3599,312
Coney Island,2005,Percent,0.35084,313
Flatbush/Midwood,2005,Percent,0.26209,314
Sheepshead Bay,2005,Percent,0.24101,315
Brownsville,2005,Percent,0.43196,316
East Flatbush,2005,Percent,0.16951,317
Canarsie,2005,Percent,0.14799,318
Astoria,2005,Percent,0.27608,401
Sunnyside/Woodside,2005,Percent,0.15422,402
Jackson Heights,2005,Percent,0.24311,403
Elmhurst/Corona,2005,Percent,0.2303,404
Ridgewood/Glendale,2005,Percent,0.20408,405
Rego Park/Forest Hills,2005,Percent,0.09408,406
Flushing,2005,Percent,0.12475,407
Fresh Meadows/Briarwood,2005,Percent,0.08946,408
Woodhaven,2005,Percent,0.17404,409
Howard Beach,2005,Percent,0.08733,410
Bayside,2005,Percent,0.09063,411
Jamaica/St. Albans,2005,Percent,0.13709,412
Queens Village,2005,Percent,0.07351,413
The Rockaways,2005,Percent,0.1956,414
St. George,2005,Percent,0.24846,501
South Beach,2005,Percent,0.21829,502
Tottenville,2005,Percent,0.05648,503
Bronx,2005,Percent,0.39744,36005
Brooklyn,2005,Percent,0.30481,36047
Manhattan,2005,Percent,0.29614,36061
Queens,2005,Percent,0.15861,36081
Staten Island,2005,Percent,0.17498,36085
New York City,2005,Percent,0.277,3651000
Bronx,2012,Number,161455,36005
Bronx,2012,Percent,0.44458,36005
Brooklyn,2012,Number,208253,36047
Brooklyn,2012,Percent,0.34874,36047
Manhattan,2012,Number,61490,36061
Manhattan,2012,Percent,0.25828,36061
Queens,2012,Number,106830,36081
Queens,2012,Percent,0.23201,36081
Staten Island,2012,Number,15471,36085
Staten Island,2012,Percent,0.14592,36085
Riverdale,2012,Number,5969,208
Riverdale,2012,Percent,0.29533,208
Williamsbridge,2012,Number,12626,212
Williamsbridge,2012,Percent,0.34043,212
Throgs Neck,2012,Number,3928,210
Throgs Neck,2012,Percent,0.17003,210
Pelham Parkway,2012,Number,7863,211
Pelham Parkway,2012,Percent,0.24726,211
Morrisania,2012,Number,15020.38375,203
Morrisania,2012,Percent,0.58127,203
East Tremont,2012,Number,15680.61626,206
East Tremont,2012,Percent,0.58127,206
Bedford Park,2012,Number,13429,207
Bedford Park,2012,Percent,0.40399,207
University Heights,2012,Number,20838,205
University Heights,2012,Percent,0.5904,205
Concourse/Highbridge,2012,Number,19555,204
Concourse/Highbridge,2012,Percent,0.50177,204
Unionport/Soundview,2012,Number,19267,209
Unionport/Soundview,2012,Percent,0.43172,209
Mott Haven,2012,Number,17363.95277,201
Mott Haven,2012,Percent,0.59296,201
Hunts Point,2012,Number,9915.04723,202
Hunts Point,2012,Percent,0.59296,202
Washington Heights,2012,Number,12257,112
Washington Heights,2012,Percent,0.36056,112
Manhattanville,2012,Number,7639,109
Manhattanville,2012,Percent,0.38844,109
Central Harlem,2012,Number,12652,110
Central Harlem,2012,Percent,0.36723,110
East Harlem,2012,Number,12270,111
East Harlem,2012,Percent,0.44686,111
Upper East Side,2012,Number,2465,108
Upper East Side,2012,Percent,0.0818,108
Upper West Side,2012,Number,3931,107
Upper West Side,2012,Percent,0.12553,107
Chelsea/Clinton,2012,Number,418.53019,104
Chelsea/Clinton,2012,Percent,0.05512,104
Midtown Business District,2012,Number,209.46981,105
Midtown Business District,2012,Percent,0.05512,105
Murray Hill/Stuyvesant,2012,Number,1006,106
Murray Hill/Stuyvesant,2012,Percent,0.10295,106
Lower East Side,2012,Number,7436,103
Lower East Side,2012,Percent,0.3474,103
Battery Park/Tribeca,2012,Number,487.0357,101
Battery Park/Tribeca,2012,Percent,0.06525,101
Greenwich Village,2012,Number,718.9643,102
Greenwich Village,2012,Percent,0.06525,102
Tottenville,2012,Number,2448,503
Tottenville,2012,Percent,0.06983,503
South Beach,2012,Number,1040,502
South Beach,2012,Percent,0.03738,502
St. George,2012,Number,11983,501
St. George,2012,Percent,0.27775,501
Williamsburg/Greenpoint,2012,Number,18818,301
Williamsburg/Greenpoint,2012,Percent,0.5709,301
Bushwick,2012,Number,15694,304
Bushwick,2012,Percent,0.45457,304
Bedford Stuyvesant,2012,Number,16194,303
Bedford Stuyvesant,2012,Percent,0.46178,303
Fort Greene/Brooklyn Hts,2012,Number,8436,302
Fort Greene/Brooklyn Hts,2012,Percent,0.38227,302
Park Slope,2012,Number,1968,306
Park Slope,2012,Percent,0.11359,306
Crown Heights North,2012,Number,8487,308
Crown Heights North,2012,Percent,0.36557,308
Brownsville,2012,Number,19419,316
Brownsville,2012,Percent,0.49764,316
East New York,2012,Number,17682,305
East New York,2012,Percent,0.40641,305
Canarsie,2012,Number,8261,318
Canarsie,2012,Percent,0.16955,318
East Flatbush,2012,Number,7351,317
East Flatbush,2012,Percent,0.23034,317
Crown Heights South,2012,Number,8078,309
Crown Heights South,2012,Percent,0.28913,309
Sunset Park,2012,Number,15498,307
Sunset Park,2012,Percent,0.42297,307
Bay Ridge,2012,Number,5091,310
Bay Ridge,2012,Percent,0.18821,310
Borough Park,2012,Number,24623,312
Borough Park,2012,Percent,0.46948,312
Flatbush/Midwood,2012,Number,8337,314
Flatbush/Midwood,2012,Percent,0.24023,314
Sheepshead Bay,2012,Number,8667,315
Sheepshead Bay,2012,Percent,0.24496,315
Bensonhurst,2012,Number,10169,311
Bensonhurst,2012,Percent,0.27348,311
Coney Island,2012,Number,5480,313
Coney Island,2012,Percent,0.31336,313
Astoria,2012,Number,5048,401
Astoria,2012,Percent,0.22745,401
Jackson Heights,2012,Number,12457,403
Jackson Heights,2012,Percent,0.35577,403
Flushing,2012,Number,8755,407
Flushing,2012,Percent,0.2033,407
Bayside,2012,Number,2110,411
Bayside,2012,Percent,0.09035,411
Queens Village,2012,Number,7075,413
Queens Village,2012,Percent,0.17831,413
Fresh Meadows/Briarwood,2012,Number,7204,408
Fresh Meadows/Briarwood,2012,Percent,0.22093,408
Elmhurst/Corona,2012,Number,10154,404
Elmhurst/Corona,2012,Percent,0.3484,404
Rego Park/Forest Hills,2012,Number,3631,406
Rego Park/Forest Hills,2012,Percent,0.1677,406
Sunnyside/Woodside,2012,Number,5777,402
Sunnyside/Woodside,2012,Percent,0.21662,402
Ridgewood/Glendale,2012,Number,6774,405
Ridgewood/Glendale,2012,Percent,0.20206,405
Woodhaven,2012,Number,7804,409
Woodhaven,2012,Percent,0.22915,409
Jamaica/St. Albans,2012,Number,14357,412
Jamaica/St. Albans,2012,Percent,0.27433,412
Howard Beach,2012,Number,5805,410
Howard Beach,2012,Percent,0.19526,410
The Rockaways,2012,Number,9879,414
The Rockaways,2012,Percent,0.26389,414
New York City,2012,Number,553499,3651000
New York City,2012,Percent,0.31362,3651000
Bronx,2013,Number,149093,36005
Bronx,2013,Percent,0.42041,36005
Brooklyn,2013,Number,198557,36047
Brooklyn,2013,Percent,0.33199,36047
Manhattan,2013,Number,60344,36061
Manhattan,2013,Percent,0.25608,36061
Queens,2013,Number,95312,36081
Queens,2013,Percent,0.20665,36081
Staten Island,2013,Number,19686,36085
Staten Island,2013,Percent,0.18672,36085
Riverdale,2013,Number,4951,208
Riverdale,2013,Percent,0.1931,208
Williamsbridge,2013,Number,11058,212
Williamsbridge,2013,Percent,0.34345,212
Throgs Neck,2013,Number,2162,210
Throgs Neck,2013,Percent,0.08434,210
Pelham Parkway,2013,Number,9159,211
Pelham Parkway,2013,Percent,0.33611,211
Morrisania,2013,Number,11741.93707,203
Morrisania,2013,Percent,0.51828,203
East Tremont,2013,Number,12258.06293,206
East Tremont,2013,Percent,0.51828,206
Bedford Park,2013,Number,16171,207
Bedford Park,2013,Percent,0.47372,207
University Heights,2013,Number,19296,205
University Heights,2013,Percent,0.55229,205
Concourse/Highbridge,2013,Number,18173,204
Concourse/Highbridge,2013,Percent,0.48309,204
Unionport/Soundview,2013,Number,18070,209
Unionport/Soundview,2013,Percent,0.41344,209
Mott Haven,2013,Number,16583.5647,201
Mott Haven,2013,Percent,0.55185,201
Hunts Point,2013,Number,9469.4353,202
Hunts Point,2013,Percent,0.55185,202
Washington Heights,2013,Number,14604,112
Washington Heights,2013,Percent,0.37218,112
Manhattanville,2013,Number,5468,109
Manhattanville,2013,Percent,0.28345,109
Central Harlem,2013,Number,12741,110
Central Harlem,2013,Percent,0.39656,110
East Harlem,2013,Number,10035,111
East Harlem,2013,Percent,0.42272,111
Upper East Side,2013,Number,872,108
Upper East Side,2013,Percent,0.02707,108
Upper West Side,2013,Number,1765,107
Upper West Side,2013,Percent,0.07386,107
Chelsea/Clinton,2013,Number,3596.82713,104
Chelsea/Clinton,2013,Percent,0.38822,104
Midtown Business District,2013,Number,1800.17287,105
Midtown Business District,2013,Percent,0.38822,105
Murray Hill/Stuyvesant,2013,Number,246,106
Murray Hill/Stuyvesant,2013,Percent,0.02316,106
Lower East Side,2013,Number,8329,103
Lower East Side,2013,Percent,0.44619,103
Battery Park/Tribeca,2013,Number,358.20951,101
Battery Park/Tribeca,2013,Percent,0.04042,101
Greenwich Village,2013,Number,528.7905,102
Greenwich Village,2013,Percent,0.04042,102
Tottenville,2013,Number,2656,503
Tottenville,2013,Percent,0.08417,503
South Beach,2013,Number,5325,502
South Beach,2013,Percent,0.18207,502
St. George,2013,Number,11705,501
St. George,2013,Percent,0.26227,501
Williamsburg/Greenpoint,2013,Number,13769,301
Williamsburg/Greenpoint,2013,Percent,0.43927,301
Bushwick,2013,Number,9904,304
Bushwick,2013,Percent,0.31009,304
Bedford Stuyvesant,2013,Number,23340,303
Bedford Stuyvesant,2013,Percent,0.55235,303
Fort Greene/Brooklyn Hts,2013,Number,6113,302
Fort Greene/Brooklyn Hts,2013,Percent,0.27267,302
Park Slope,2013,Number,2742,306
Park Slope,2013,Percent,0.11179,306
Crown Heights North,2013,Number,10351,308
Crown Heights North,2013,Percent,0.39222,308
Brownsville,2013,Number,17245,316
Brownsville,2013,Percent,0.48521,316
East New York,2013,Number,15733,305
East New York,2013,Percent,0.36963,305
Canarsie,2013,Number,7672,318
Canarsie,2013,Percent,0.17158,318
East Flatbush,2013,Number,6721,317
East Flatbush,2013,Percent,0.23412,317
Crown Heights South,2013,Number,6230,309
Crown Heights South,2013,Percent,0.28716,309
Sunset Park,2013,Number,16072,307
Sunset Park,2013,Percent,0.43389,307
Bay Ridge,2013,Number,5213,310
Bay Ridge,2013,Percent,0.20386,310
Borough Park,2013,Number,25415,312
Borough Park,2013,Percent,0.46274,312
Flatbush/Midwood,2013,Number,10458,314
Flatbush/Midwood,2013,Percent,0.28595,314
Sheepshead Bay,2013,Number,7493,315
Sheepshead Bay,2013,Percent,0.21438,315
Bensonhurst,2013,Number,8046,311
Bensonhurst,2013,Percent,0.21547,311
Coney Island,2013,Number,6040,313
Coney Island,2013,Percent,0.30846,313
Astoria,2013,Number,7866,401
Astoria,2013,Percent,0.29355,401
Jackson Heights,2013,Number,11487,403
Jackson Heights,2013,Percent,0.28295,403
Flushing,2013,Number,7751,407
Flushing,2013,Percent,0.18045,407
Bayside,2013,Number,1366,411
Bayside,2013,Percent,0.06053,411
Queens Village,2013,Number,4485,413
Queens Village,2013,Percent,0.1141,413
Fresh Meadows/Briarwood,2013,Number,7336,408
Fresh Meadows/Briarwood,2013,Percent,0.21431,408
Elmhurst/Corona,2013,Number,8542,404
Elmhurst/Corona,2013,Percent,0.26767,404
Rego Park/Forest Hills,2013,Number,2989,406
Rego Park/Forest Hills,2013,Percent,0.14454,406
Sunnyside/Woodside,2013,Number,5097,402
Sunnyside/Woodside,2013,Percent,0.22645,402
Ridgewood/Glendale,2013,Number,5836,405
Ridgewood/Glendale,2013,Percent,0.18848,405
Woodhaven,2013,Number,8345,409
Woodhaven,2013,Percent,0.22822,409
Jamaica/St. Albans,2013,Number,14218,412
Jamaica/St. Albans,2013,Percent,0.24156,412
Howard Beach,2013,Number,3636,410
Howard Beach,2013,Percent,0.14871,410
The Rockaways,2013,Number,6358,414
The Rockaways,2013,Percent,0.22045,414
New York City,2013,Number,522992,3651000
New York City,2013,Percent,0.298,3651000
New York City,2014,Number,523538,3651000
Bronx,2014,Number,154811,36005
Brooklyn,2014,Number,199283,36047
Manhattan,2014,Number,52552,36061
Queens,2014,Number,94465,36081
Staten Island,2014,Number,22427,36085
Riverdale,2014,Number,7356,208
Williamsbridge,2014,Number,7731,212
Throgs Neck,2014,Number,3794,210
Pelham Parkway,2014,Number,9485,211
Morrisania,2014,Number,12643.61998,203
East Tremont,2014,Number,13199.38002,206
Bedford Park,2014,Number,15293,207
University Heights,2014,Number,21599,205
Concourse/Highbridge,2014,Number,17863,204
Unionport/Soundview,2014,Number,20249,209
Mott Haven,2014,Number,16293.9427,201
Hunts Point,2014,Number,9304.0573,202
Washington Heights,2014,Number,12610,112
Manhattanville,2014,Number,5981,109
Central Harlem,2014,Number,9292,110
East Harlem,2014,Number,12598,111
Upper East Side,2014,Number,2420,108
Upper West Side,2014,Number,840,107
Chelsea/Clinton,2014,Number,1783.41845,104
Midtown Business District,2014,Number,892.58155,105
Murray Hill/Stuyvesant,2014,Number,250,106
Lower East Side,2014,Number,5033,103
Battery Park/Tribeca,2014,Number,344.07497,101
Greenwich Village,2014,Number,507.92503,102
Tottenville,2014,Number,5451,503
South Beach,2014,Number,2370,502
St. George,2014,Number,14606,501
Williamsburg/Greenpoint,2014,Number,13819,301
Bushwick,2014,Number,10614,304
Bedford Stuyvesant,2014,Number,13326,303
Fort Greene/Brooklyn Hts,2014,Number,7263,302
Park Slope,2014,Number,2094,306
Crown Heights North,2014,Number,8552,308
Brownsville,2014,Number,17377,316
East New York,2014,Number,13922,305
Canarsie,2014,Number,9987,318
East Flatbush,2014,Number,7346,317
Crown Heights South,2014,Number,6708,309
Sunset Park,2014,Number,13311,307
Bay Ridge,2014,Number,8095,310
Borough Park,2014,Number,28450,312
Flatbush/Midwood,2014,Number,11695,314
Sheepshead Bay,2014,Number,6668,315
Bensonhurst,2014,Number,10050,311
Coney Island,2014,Number,10006,313
Astoria,2014,Number,7849,401
Jackson Heights,2014,Number,8419,403
Flushing,2014,Number,8543,407
Bayside,2014,Number,2398,411
Queens Village,2014,Number,5107,413
Fresh Meadows/Briarwood,2014,Number,4998,408
Elmhurst/Corona,2014,Number,10195,404
Rego Park/Forest Hills,2014,Number,1070,406
Sunnyside/Woodside,2014,Number,5723,402
Ridgewood/Glendale,2014,Number,6897,405
Woodhaven,2014,Number,6993,409
Jamaica/St. Albans,2014,Number,11276,412
Howard Beach,2014,Number,7578,410
The Rockaways,2014,Number,7419,414
New York City,2014,Percent,0.29632,3651000
Bronx,2014,Percent,0.43279,36005
Brooklyn,2014,Percent,0.33111,36047
Manhattan,2014,Percent,0.22201,36061
Queens,2014,Percent,0.20263,36081
Staten Island,2014,Percent,0.21493,36085
Riverdale,2014,Percent,0.31775,208
Williamsbridge,2014,Percent,0.25159,212
Throgs Neck,2014,Percent,0.15435,210
Pelham Parkway,2014,Percent,0.3062,211
Morrisania,2014,Percent,0.54893,203
East Tremont,2014,Percent,0.54893,206
Bedford Park,2014,Percent,0.43042,207
University Heights,2014,Percent,0.59778,205
Concourse/Highbridge,2014,Percent,0.45703,204
Unionport/Soundview,2014,Percent,0.47037,209
Mott Haven,2014,Percent,0.54008,201
Hunts Point,2014,Percent,0.54008,202
Washington Heights,2014,Percent,0.31562,112
Manhattanville,2014,Percent,0.27744,109
Central Harlem,2014,Percent,0.35368,110
East Harlem,2014,Percent,0.48363,111
Upper East Side,2014,Percent,0.06717,108
Upper West Side,2014,Percent,0.02894,107
Chelsea/Clinton,2014,Percent,0.21389,104
Midtown Business District,2014,Percent,0.21389,105
Murray Hill/Stuyvesant,2014,Percent,0.02343,106
Lower East Side,2014,Percent,0.31442,103
Battery Park/Tribeca,2014,Percent,0.04572,101
Greenwich Village,2014,Percent,0.04572,102
Tottenville,2014,Percent,0.14112,503
South Beach,2014,Percent,0.09819,502
St. George,2014,Percent,0.35124,501
Williamsburg/Greenpoint,2014,Percent,0.43471,301
Bushwick,2014,Percent,0.37668,304
Bedford Stuyvesant,2014,Percent,0.44227,303
Fort Greene/Brooklyn Hts,2014,Percent,0.28025,302
Park Slope,2014,Percent,0.07954,306
Crown Heights North,2014,Percent,0.30845,308
Brownsville,2014,Percent,0.52802,316
East New York,2014,Percent,0.36094,305
Canarsie,2014,Percent,0.21109,318
East Flatbush,2014,Percent,0.25555,317
