"Name","Child Poverty by Household Type"
"Description","Children in single parent households are defined as the
biological, adopted, or step children of household
heads in family households where no spouse is present.&nbsp;Other households are those for whom the child's relationship to householder is defined as other relative, foster or unrelated child.&nbsp;Due to small sample sizes in smaller geographies, data are presented in 3-year averages; 2019 = 2017-2019 3-year average.&nbsp;"
"Source Notes","CCC analysis of U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample Files (2012 - 2019)."
"Notes","The Federal Poverty Level (FPL) is an income threshold calculated by the U.S. Census Bureau each year for the purpose of estimating the number of individuals and households living in poverty. The income threshold varies based on the number of children and adults in a household and the age of the head of household. In 2019, the FPL for a household consisting of two adults and two children was $25,750. The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the children in the selected household type for whom poverty status was determined.&nbsp;"

Location,Household Type,TimeFrame,DataFormat,Data,Fips
Brooklyn,Single Mothers,2016,Percent,0.449,36047
Brooklyn,Single Fathers,2016,Percent,0.313,36047
Brooklyn,Grandparents,2016,Percent,0.217,36047
Brooklyn,Other,2016,Percent,0.274,36047
Manhattan,Married Couples,2016,Percent,0.094,36061
Manhattan,Single Mothers,2016,Percent,0.498,36061
Manhattan,Single Fathers,2016,Percent,0.182,36061
Manhattan,Grandparents,2016,Percent,0.453,36061
Manhattan,Other,2016,Percent,0.308,36061
Queens,Married Couples,2016,Percent,0.114,36081
Queens,Single Mothers,2016,Percent,0.407,36081
Queens,Single Fathers,2016,Percent,0.226,36081
Queens,Grandparents,2016,Percent,0.168,36081
Queens,Other,2016,Percent,0.21,36081
Staten Island,Married Couples,2016,Percent,0.102,36085
Staten Island,Single Mothers,2016,Percent,0.521,36085
Staten Island,Single Fathers,2016,Percent,0.164,36085
Staten Island,Grandparents,2016,Percent,0.098,36085
Staten Island,Other,2016,Percent,0.526,36085
New York City,Married Couples,2016,Percent,0.183,3651000
New York City,Single Mothers,2016,Percent,0.494,3651000
New York City,Single Fathers,2016,Percent,0.283,3651000
New York City,Grandparents,2016,Percent,0.258,3651000
New York City,Other,2016,Percent,0.278,3651000
Battery Park/Tribeca,Married Couples,2017,Number,163.55676,101
Battery Park/Tribeca,Single Mothers,2017,Number,84.40337,101
Battery Park/Tribeca,Single Fathers,2017,Number,48.05742,101
Battery Park/Tribeca,Grandparents,2017,Number,0,101
Battery Park/Tribeca,Other,2017,Number,0,101
Greenwich Village,Married Couples,2017,Number,241.44324,102
Greenwich Village,Single Mothers,2017,Number,124.59663,102
Greenwich Village,Single Fathers,2017,Number,70.94258,102
Greenwich Village,Grandparents,2017,Number,0,102
Greenwich Village,Other,2017,Number,0,102
Lower East Side,Married Couples,2017,Number,1562,103
Lower East Side,Single Mothers,2017,Number,3445,103
Lower East Side,Single Fathers,2017,Number,346,103
Lower East Side,Grandparents,2017,Number,1844,103
Lower East Side,Other,2017,Number,339,103
Chelsea/Clinton,Married Couples,2017,Number,149.9511,104
Chelsea/Clinton,Single Mothers,2017,Number,811.06886,104
Chelsea/Clinton,Single Fathers,2017,Number,0,104
Chelsea/Clinton,Grandparents,2017,Number,184.60647,104
Chelsea/Clinton,Other,2017,Number,0,104
Midtown Business District,Married Couples,2017,Number,75.0489,105
Midtown Business District,Single Mothers,2017,Number,405.93114,105
Midtown Business District,Single Fathers,2017,Number,0,105
Midtown Business District,Grandparents,2017,Number,92.39353,105
Midtown Business District,Other,2017,Number,0,105
Murray Hill/Stuyvesant,Married Couples,2017,Number,509,106
Murray Hill/Stuyvesant,Single Mothers,2017,Number,0,106
Murray Hill/Stuyvesant,Single Fathers,2017,Number,0,106
Murray Hill/Stuyvesant,Grandparents,2017,Number,0,106
Murray Hill/Stuyvesant,Other,2017,Number,0,106
Upper West Side,Married Couples,2017,Number,1137,107
Upper West Side,Single Mothers,2017,Number,1566,107
Upper West Side,Single Fathers,2017,Number,0,107
Upper West Side,Grandparents,2017,Number,453,107
Upper West Side,Other,2017,Number,0,107
Upper East Side,Married Couples,2017,Number,149,108
Upper East Side,Single Mothers,2017,Number,965,108
Upper East Side,Single Fathers,2017,Number,73,108
Upper East Side,Grandparents,2017,Number,0,108
Upper East Side,Other,2017,Number,0,108
Manhattanville,Married Couples,2017,Number,800,109
Manhattanville,Single Mothers,2017,Number,4058,109
Manhattanville,Single Fathers,2017,Number,481,109
Manhattanville,Grandparents,2017,Number,1083,109
Manhattanville,Other,2017,Number,335,109
Central Harlem,Married Couples,2017,Number,1319,110
Central Harlem,Single Mothers,2017,Number,7935,110
Central Harlem,Single Fathers,2017,Number,247,110
Central Harlem,Grandparents,2017,Number,1364,110
Central Harlem,Other,2017,Number,244,110
East Harlem,Married Couples,2017,Number,2669,111
East Harlem,Single Mothers,2017,Number,9300,111
East Harlem,Single Fathers,2017,Number,319,111
East Harlem,Grandparents,2017,Number,1473,111
East Harlem,Other,2017,Number,390,111
Washington Heights,Married Couples,2017,Number,2409,112
Washington Heights,Single Mothers,2017,Number,4198,112
Washington Heights,Single Fathers,2017,Number,875,112
Washington Heights,Grandparents,2017,Number,2942,112
Washington Heights,Other,2017,Number,1083,112
Mott Haven,Married Couples,2017,Number,2487.56653,201
Mott Haven,Single Mothers,2017,Number,8763.1342,201
Mott Haven,Single Fathers,2017,Number,742.19616,201
Mott Haven,Grandparents,2017,Number,1325.25934,201
Mott Haven,Other,2017,Number,439.20699,201
Hunts Point,Married Couples,2017,Number,1420.43347,202
Hunts Point,Single Mothers,2017,Number,5003.8658,202
Hunts Point,Single Fathers,2017,Number,423.80384,202
Hunts Point,Grandparents,2017,Number,756.74066,202
Hunts Point,Other,2017,Number,250.79301,202
Morrisania,Married Couples,2017,Number,2019.12393,203
Morrisania,Single Mothers,2017,Number,7407.2053,203
Morrisania,Single Fathers,2017,Number,956.96787,203
Morrisania,Grandparents,2017,Number,601.28503,203
Morrisania,Other,2017,Number,224.56455,203
Concourse/Highbridge,Married Couples,2017,Number,4772,204
Concourse/Highbridge,Single Mothers,2017,Number,13434,204
Concourse/Highbridge,Single Fathers,2017,Number,796,204
Concourse/Highbridge,Grandparents,2017,Number,1145,204
Concourse/Highbridge,Other,2017,Number,613,204
University Heights,Married Couples,2017,Number,5115,205
University Heights,Single Mothers,2017,Number,12346,205
University Heights,Single Fathers,2017,Number,573,205
University Heights,Grandparents,2017,Number,1596,205
University Heights,Other,2017,Number,495,205
East Tremont,Married Couples,2017,Number,2107.87607,206
East Tremont,Single Mothers,2017,Number,7732.7947,206
East Tremont,Single Fathers,2017,Number,999.03213,206
East Tremont,Grandparents,2017,Number,627.71497,206
East Tremont,Other,2017,Number,234.43545,206
Bedford Park,Married Couples,2017,Number,4102,207
Bedford Park,Single Mothers,2017,Number,8760,207
Bedford Park,Single Fathers,2017,Number,867,207
Bedford Park,Grandparents,2017,Number,2325,207
Bedford Park,Other,2017,Number,352,207
Riverdale,Married Couples,2017,Number,1712,208
Riverdale,Single Mothers,2017,Number,3646,208
Riverdale,Single Fathers,2017,Number,308,208
Riverdale,Grandparents,2017,Number,905,208
Riverdale,Other,2017,Number,199,208
Unionport/Soundview,Married Couples,2017,Number,5195,209
Unionport/Soundview,Single Mothers,2017,Number,9530,209
Unionport/Soundview,Single Fathers,2017,Number,642,209
Unionport/Soundview,Grandparents,2017,Number,1411,209
Unionport/Soundview,Other,2017,Number,361,209
Throgs Neck,Married Couples,2017,Number,549,210
Throgs Neck,Single Mothers,2017,Number,2145,210
Throgs Neck,Single Fathers,2017,Number,578,210
Throgs Neck,Grandparents,2017,Number,261,210
Throgs Neck,Other,2017,Number,337,210
Pelham Parkway,Married Couples,2017,Number,2116,211
Pelham Parkway,Single Mothers,2017,Number,4250,211
Pelham Parkway,Single Fathers,2017,Number,419,211
Pelham Parkway,Grandparents,2017,Number,584,211
Pelham Parkway,Other,2017,Number,64,211
Williamsbridge,Married Couples,2017,Number,1450,212
Williamsbridge,Single Mothers,2017,Number,5731,212
Williamsbridge,Single Fathers,2017,Number,318,212
Williamsbridge,Grandparents,2017,Number,1265,212
Williamsbridge,Other,2017,Number,181,212
Williamsburg/Greenpoint,Married Couples,2017,Number,8668,301
Williamsburg/Greenpoint,Single Mothers,2017,Number,1464,301
Williamsburg/Greenpoint,Single Fathers,2017,Number,126,301
Williamsburg/Greenpoint,Grandparents,2017,Number,212,301
Williamsburg/Greenpoint,Other,2017,Number,158,301
Fort Greene/Brooklyn Hts,Married Couples,2017,Number,1929,302
Fort Greene/Brooklyn Hts,Single Mothers,2017,Number,2219,302
Fort Greene/Brooklyn Hts,Single Fathers,2017,Number,300,302
Fort Greene/Brooklyn Hts,Grandparents,2017,Number,560,302
Fort Greene/Brooklyn Hts,Other,2017,Number,325,302
Bedford Stuyvesant,Married Couples,2017,Number,7997,303
Bedford Stuyvesant,Single Mothers,2017,Number,4755,303
Bedford Stuyvesant,Single Fathers,2017,Number,803,303
Bedford Stuyvesant,Grandparents,2017,Number,1068,303
Bedford Stuyvesant,Other,2017,Number,401,303
Bushwick,Married Couples,2017,Number,2208,304
Bushwick,Single Mothers,2017,Number,7382,304
Bushwick,Single Fathers,2017,Number,282,304
Bushwick,Grandparents,2017,Number,2046,304
Bushwick,Other,2017,Number,314,304
East New York,Married Couples,2017,Number,3775,305
East New York,Single Mothers,2017,Number,8386,305
East New York,Single Fathers,2017,Number,308,305
East New York,Grandparents,2017,Number,1365,305
East New York,Other,2017,Number,574,305
Park Slope,Married Couples,2017,Number,240,306
Park Slope,Single Mothers,2017,Number,1415,306
Park Slope,Single Fathers,2017,Number,14,306
Park Slope,Grandparents,2017,Number,306,306
Park Slope,Other,2017,Number,104,306
Sunset Park,Married Couples,2017,Number,8013,307
Sunset Park,Single Mothers,2017,Number,2812,307
Sunset Park,Single Fathers,2017,Number,342,307
Sunset Park,Grandparents,2017,Number,1322,307
Sunset Park,Other,2017,Number,662,307
Crown Heights North,Married Couples,2017,Number,1250,308
Crown Heights North,Single Mothers,2017,Number,4756,308
Crown Heights North,Single Fathers,2017,Number,1295,308
Crown Heights North,Grandparents,2017,Number,554,308
Crown Heights North,Other,2017,Number,400,308
Crown Heights South,Married Couples,2017,Number,3043,309
Crown Heights South,Single Mothers,2017,Number,2316,309
Crown Heights South,Single Fathers,2017,Number,294,309
Crown Heights South,Grandparents,2017,Number,278,309
Crown Heights South,Other,2017,Number,56,309
Bay Ridge,Married Couples,2017,Number,2088,310
Bay Ridge,Single Mothers,2017,Number,808,310
Bay Ridge,Single Fathers,2017,Number,255,310
Bay Ridge,Grandparents,2017,Number,454,310
Bay Ridge,Other,2017,Number,318,310
Bensonhurst,Married Couples,2017,Number,5813,311
Bensonhurst,Single Mothers,2017,Number,1443,311
Bensonhurst,Single Fathers,2017,Number,1195,311
Bensonhurst,Grandparents,2017,Number,367,311
Bensonhurst,Other,2017,Number,416,311
Borough Park,Married Couples,2017,Number,18999,312
Borough Park,Single Mothers,2017,Number,1669,312
Borough Park,Single Fathers,2017,Number,395,312
Borough Park,Grandparents,2017,Number,800,312
Borough Park,Other,2017,Number,318,312
Coney Island,Married Couples,2017,Number,3473,313
Coney Island,Single Mothers,2017,Number,2101,313
Coney Island,Single Fathers,2017,Number,461,313
Coney Island,Grandparents,2017,Number,830,313
Coney Island,Other,2017,Number,113,313
Flatbush/Midwood,Married Couples,2017,Number,4248,314
Flatbush/Midwood,Single Mothers,2017,Number,3708,314
Flatbush/Midwood,Single Fathers,2017,Number,102,314
Flatbush/Midwood,Grandparents,2017,Number,606,314
Flatbush/Midwood,Other,2017,Number,238,314
Sheepshead Bay,Married Couples,2017,Number,3977,315
Sheepshead Bay,Single Mothers,2017,Number,1049,315
Sheepshead Bay,Single Fathers,2017,Number,920,315
Sheepshead Bay,Grandparents,2017,Number,404,315
Sheepshead Bay,Other,2017,Number,81,315
Brownsville,Married Couples,2017,Number,1384,316
Brownsville,Single Mothers,2017,Number,6034,316
Brownsville,Single Fathers,2017,Number,1476,316
Brownsville,Grandparents,2017,Number,471,316
Brownsville,Other,2017,Number,345,316
East Flatbush,Married Couples,2017,Number,1213,317
East Flatbush,Single Mothers,2017,Number,3634,317
East Flatbush,Single Fathers,2017,Number,286,317
East Flatbush,Grandparents,2017,Number,550,317
East Flatbush,Other,2017,Number,352,317
Canarsie,Married Couples,2017,Number,1421,318
Canarsie,Single Mothers,2017,Number,4040,318
Canarsie,Single Fathers,2017,Number,541,318
Canarsie,Grandparents,2017,Number,645,318
Canarsie,Other,2017,Number,209,318
Astoria,Married Couples,2017,Number,2047,401
Astoria,Single Mothers,2017,Number,2082,401
Astoria,Single Fathers,2017,Number,98,401
Astoria,Grandparents,2017,Number,629,401
Astoria,Other,2017,Number,285,401
Sunnyside/Woodside,Married Couples,2017,Number,1917,402
Sunnyside/Woodside,Single Mothers,2017,Number,748,402
Sunnyside/Woodside,Single Fathers,2017,Number,136,402
Sunnyside/Woodside,Grandparents,2017,Number,274,402
Sunnyside/Woodside,Other,2017,Number,316,402
Jackson Heights,Married Couples,2017,Number,3320,403
Jackson Heights,Single Mothers,2017,Number,2629,403
Jackson Heights,Single Fathers,2017,Number,1690,403
Jackson Heights,Grandparents,2017,Number,753,403
Jackson Heights,Other,2017,Number,514,403
Elmhurst/Corona,Married Couples,2017,Number,3180,404
Elmhurst/Corona,Single Mothers,2017,Number,2517,404
Elmhurst/Corona,Single Fathers,2017,Number,516,404
Elmhurst/Corona,Grandparents,2017,Number,512,404
Elmhurst/Corona,Other,2017,Number,250,404
Ridgewood/Glendale,Married Couples,2017,Number,1816,405
Ridgewood/Glendale,Single Mothers,2017,Number,2191,405
Ridgewood/Glendale,Single Fathers,2017,Number,544,405
Ridgewood/Glendale,Grandparents,2017,Number,310,405
Ridgewood/Glendale,Other,2017,Number,120,405
Rego Park/Forest Hills,Married Couples,2017,Number,2057,406
Rego Park/Forest Hills,Single Mothers,2017,Number,458,406
Rego Park/Forest Hills,Single Fathers,2017,Number,20,406
Rego Park/Forest Hills,Grandparents,2017,Number,0,406
Rego Park/Forest Hills,Other,2017,Number,87,406
Flushing,Married Couples,2017,Number,3463,407
Flushing,Single Mothers,2017,Number,921,407
Flushing,Single Fathers,2017,Number,283,407
Flushing,Grandparents,2017,Number,1141,407
Flushing,Other,2017,Number,439,407
Fresh Meadows/Briarwood,Married Couples,2017,Number,3240,408
Fresh Meadows/Briarwood,Single Mothers,2017,Number,1168,408
Fresh Meadows/Briarwood,Single Fathers,2017,Number,82,408
Fresh Meadows/Briarwood,Grandparents,2017,Number,197,408
Fresh Meadows/Briarwood,Other,2017,Number,184,408
Woodhaven,Married Couples,2017,Number,2492,409
Woodhaven,Single Mothers,2017,Number,2649,409
Woodhaven,Single Fathers,2017,Number,361,409
Woodhaven,Grandparents,2017,Number,237,409
Woodhaven,Other,2017,Number,594,409
Howard Beach,Married Couples,2017,Number,2349,410
Howard Beach,Single Mothers,2017,Number,1360,410
Howard Beach,Single Fathers,2017,Number,166,410
Howard Beach,Grandparents,2017,Number,361,410
Howard Beach,Other,2017,Number,298,410
Bayside,Married Couples,2017,Number,1252,411
Bayside,Single Mothers,2017,Number,571,411
Bayside,Single Fathers,2017,Number,52,411
Bayside,Grandparents,2017,Number,52,411
Bayside,Other,2017,Number,27,411
Jamaica/St. Albans,Married Couples,2017,Number,1963,412
Jamaica/St. Albans,Single Mothers,2017,Number,4446,412
Jamaica/St. Albans,Single Fathers,2017,Number,877,412
Jamaica/St. Albans,Grandparents,2017,Number,746,412
Jamaica/St. Albans,Other,2017,Number,420,412
Queens Village,Married Couples,2017,Number,1115,413
Queens Village,Single Mothers,2017,Number,1765,413
Queens Village,Single Fathers,2017,Number,595,413
Queens Village,Grandparents,2017,Number,661,413
Queens Village,Other,2017,Number,413,413
The Rockaways,Married Couples,2017,Number,1290,414
The Rockaways,Single Mothers,2017,Number,5730,414
The Rockaways,Single Fathers,2017,Number,567,414
The Rockaways,Grandparents,2017,Number,1552,414
The Rockaways,Other,2017,Number,119,414
St. George,Married Couples,2017,Number,3695,501
St. George,Single Mothers,2017,Number,6746,501
St. George,Single Fathers,2017,Number,188,501
St. George,Grandparents,2017,Number,78,501
St. George,Other,2017,Number,583,501
South Beach,Married Couples,2017,Number,2848,502
South Beach,Single Mothers,2017,Number,1470,502
South Beach,Single Fathers,2017,Number,0,502
South Beach,Grandparents,2017,Number,442,502
South Beach,Other,2017,Number,770,502
Tottenville,Married Couples,2017,Number,1565,503
Tottenville,Single Mothers,2017,Number,872,503
Tottenville,Single Fathers,2017,Number,0,503
Tottenville,Grandparents,2017,Number,106,503
Tottenville,Other,2017,Number,93,503
Bronx,Married Couples,2017,Number,33046,36005
Bronx,Single Mothers,2017,Number,88750,36005
Bronx,Single Fathers,2017,Number,7622,36005
Bronx,Grandparents,2017,Number,12803,36005
Bronx,Other,2017,Number,3751,36005
Brooklyn,Married Couples,2017,Number,79740,36047
Brooklyn,Single Mothers,2017,Number,59990,36047
Brooklyn,Single Fathers,2017,Number,9395,36047
Brooklyn,Grandparents,2017,Number,12837,36047
Brooklyn,Other,2017,Number,5384,36047
Manhattan,Married Couples,2017,Number,11185,36061
Manhattan,Single Mothers,2017,Number,32893,36061
Manhattan,Single Fathers,2017,Number,2461,36061
Manhattan,Grandparents,2017,Number,9436,36061
Manhattan,Other,2017,Number,2391,36061
Queens,Married Couples,2017,Number,31501,36081
Queens,Single Mothers,2017,Number,29234,36081
Queens,Single Fathers,2017,Number,5989,36081
Queens,Grandparents,2017,Number,7424,36081
Queens,Other,2017,Number,4065,36081
Staten Island,Married Couples,2017,Number,8108,36085
Staten Island,Single Mothers,2017,Number,9088,36085
Staten Island,Single Fathers,2017,Number,188,36085
Staten Island,Grandparents,2017,Number,626,36085
Staten Island,Other,2017,Number,1446,36085
New York City,Married Couples,2017,Number,163581,3651000
New York City,Single Mothers,2017,Number,219956,3651000
New York City,Single Fathers,2017,Number,25656,3651000
New York City,Grandparents,2017,Number,43126,3651000
New York City,Other,2017,Number,17036,3651000
Battery Park/Tribeca,Married Couples,2017,Percent,0.024,101
Battery Park/Tribeca,Single Mothers,2017,Percent,0.147,101
Battery Park/Tribeca,Single Fathers,2017,Percent,0.132,101
Battery Park/Tribeca,Grandparents,2017,Percent,0,101
Battery Park/Tribeca,Other,2017,Percent,0,101
Greenwich Village,Married Couples,2017,Percent,0.024,102
Greenwich Village,Single Mothers,2017,Percent,0.147,102
Greenwich Village,Single Fathers,2017,Percent,0.132,102
Greenwich Village,Grandparents,2017,Percent,0,102
Greenwich Village,Other,2017,Percent,0,102
Lower East Side,Married Couples,2017,Percent,0.204,103
Lower East Side,Single Mothers,2017,Percent,0.569,103
Lower East Side,Single Fathers,2017,Percent,0.339,103
Lower East Side,Grandparents,2017,Percent,0.472,103
Lower East Side,Other,2017,Percent,0.927,103
Chelsea/Clinton,Married Couples,2017,Percent,0.029,104
Chelsea/Clinton,Single Mothers,2017,Percent,0.548,104
Chelsea/Clinton,Single Fathers,2017,Percent,0,104
Chelsea/Clinton,Grandparents,2017,Percent,0.39,104
Chelsea/Clinton,Other,2017,Percent,0,104
Midtown Business District,Married Couples,2017,Percent,0.029,105
Midtown Business District,Single Mothers,2017,Percent,0.548,105
Midtown Business District,Single Fathers,2017,Percent,0,105
Midtown Business District,Grandparents,2017,Percent,0.39,105
Midtown Business District,Other,2017,Percent,0,105
Murray Hill/Stuyvesant,Married Couples,2017,Percent,0.055,106
Murray Hill/Stuyvesant,Single Mothers,2017,Percent,0,106
Murray Hill/Stuyvesant,Single Fathers,2017,Percent,0,106
Murray Hill/Stuyvesant,Grandparents,2017,Percent,0,106
Murray Hill/Stuyvesant,Other,2017,Percent,0,106
Upper West Side,Married Couples,2017,Percent,0.05,107
Upper West Side,Single Mothers,2017,Percent,0.34,107
Upper West Side,Single Fathers,2017,Percent,0,107
Upper West Side,Grandparents,2017,Percent,0.484,107
Upper West Side,Other,2017,Percent,0,107
Upper East Side,Married Couples,2017,Percent,0.005,108
Upper East Side,Single Mothers,2017,Percent,0.281,108
Upper East Side,Single Fathers,2017,Percent,0.067,108
Upper East Side,Grandparents,2017,Percent,0,108
Upper East Side,Other,2017,Percent,0,108
Manhattanville,Married Couples,2017,Percent,0.099,109
Manhattanville,Single Mothers,2017,Percent,0.673,109
Manhattanville,Single Fathers,2017,Percent,0.474,109
Manhattanville,Grandparents,2017,Percent,0.33,109
Manhattanville,Other,2017,Percent,0.256,109
Central Harlem,Married Couples,2017,Percent,0.175,110
Central Harlem,Single Mothers,2017,Percent,0.536,110
Central Harlem,Single Fathers,2017,Percent,0.141,110
Central Harlem,Grandparents,2017,Percent,0.374,110
Central Harlem,Other,2017,Percent,0.183,110
East Harlem,Married Couples,2017,Percent,0.302,111
East Harlem,Single Mothers,2017,Percent,0.713,111
East Harlem,Single Fathers,2017,Percent,0.52,111
East Harlem,Grandparents,2017,Percent,0.479,111
East Harlem,Other,2017,Percent,0.568,111
Washington Heights,Married Couples,2017,Percent,0.154,112
Washington Heights,Single Mothers,2017,Percent,0.416,112
Washington Heights,Single Fathers,2017,Percent,0.337,112
Washington Heights,Grandparents,2017,Percent,0.441,112
Washington Heights,Other,2017,Percent,0.302,112
Mott Haven,Married Couples,2017,Percent,0.345,201
Mott Haven,Single Mothers,2017,Percent,0.667,201
Mott Haven,Single Fathers,2017,Percent,0.29,201
Mott Haven,Grandparents,2017,Percent,0.373,201
Mott Haven,Other,2017,Percent,0.531,201
Hunts Point,Married Couples,2017,Percent,0.345,202
Hunts Point,Single Mothers,2017,Percent,0.667,202
Hunts Point,Single Fathers,2017,Percent,0.29,202
Hunts Point,Grandparents,2017,Percent,0.373,202
Hunts Point,Other,2017,Percent,0.531,202
Morrisania,Married Couples,2017,Percent,0.283,203
Morrisania,Single Mothers,2017,Percent,0.65,203
Morrisania,Single Fathers,2017,Percent,0.574,203
Morrisania,Grandparents,2017,Percent,0.252,203
Morrisania,Other,2017,Percent,0.315,203
Concourse/Highbridge,Married Couples,2017,Percent,0.396,204
Concourse/Highbridge,Single Mothers,2017,Percent,0.64,204
Concourse/Highbridge,Single Fathers,2017,Percent,0.323,204
Concourse/Highbridge,Grandparents,2017,Percent,0.36,204
Concourse/Highbridge,Other,2017,Percent,0.336,204
University Heights,Married Couples,2017,Percent,0.372,205
University Heights,Single Mothers,2017,Percent,0.666,205
University Heights,Single Fathers,2017,Percent,0.398,205
University Heights,Grandparents,2017,Percent,0.394,205
University Heights,Other,2017,Percent,0.325,205
East Tremont,Married Couples,2017,Percent,0.283,206
East Tremont,Single Mothers,2017,Percent,0.65,206
East Tremont,Single Fathers,2017,Percent,0.574,206
East Tremont,Grandparents,2017,Percent,0.252,206
East Tremont,Other,2017,Percent,0.315,206
Bedford Park,Married Couples,2017,Percent,0.331,207
Bedford Park,Single Mothers,2017,Percent,0.61,207
Bedford Park,Single Fathers,2017,Percent,0.278,207
Bedford Park,Grandparents,2017,Percent,0.447,207
Bedford Park,Other,2017,Percent,0.255,207
Riverdale,Married Couples,2017,Percent,0.146,208
Riverdale,Single Mothers,2017,Percent,0.524,208
Riverdale,Single Fathers,2017,Percent,0.169,208
Riverdale,Grandparents,2017,Percent,0.407,208
Riverdale,Other,2017,Percent,0.236,208
Unionport/Soundview,Married Couples,2017,Percent,0.267,209
Unionport/Soundview,Single Mothers,2017,Percent,0.541,209
Unionport/Soundview,Single Fathers,2017,Percent,0.247,209
Unionport/Soundview,Grandparents,2017,Percent,0.283,209
Unionport/Soundview,Other,2017,Percent,0.414,209
Throgs Neck,Married Couples,2017,Percent,0.058,210
Throgs Neck,Single Mothers,2017,Percent,0.382,210
Throgs Neck,Single Fathers,2017,Percent,0.238,210
Throgs Neck,Grandparents,2017,Percent,0.107,210
Throgs Neck,Other,2017,Percent,0.231,210
Pelham Parkway,Married Couples,2017,Percent,0.154,211
Pelham Parkway,Single Mothers,2017,Percent,0.536,211
Pelham Parkway,Single Fathers,2017,Percent,0.328,211
Pelham Parkway,Grandparents,2017,Percent,0.16,211
Pelham Parkway,Other,2017,Percent,0.123,211
Williamsbridge,Married Couples,2017,Percent,0.118,212
Williamsbridge,Single Mothers,2017,Percent,0.466,212
Williamsbridge,Single Fathers,2017,Percent,0.254,212
Williamsbridge,Grandparents,2017,Percent,0.281,212
Williamsbridge,Other,2017,Percent,0.098,212
Williamsburg/Greenpoint,Married Couples,2017,Percent,0.336,301
Williamsburg/Greenpoint,Single Mothers,2017,Percent,0.354,301
Williamsburg/Greenpoint,Single Fathers,2017,Percent,0.151,301
Williamsburg/Greenpoint,Grandparents,2017,Percent,0.142,301
Williamsburg/Greenpoint,Other,2017,Percent,0.219,301
Fort Greene/Brooklyn Hts,Married Couples,2017,Percent,0.132,302
Fort Greene/Brooklyn Hts,Single Mothers,2017,Percent,0.436,302
Fort Greene/Brooklyn Hts,Single Fathers,2017,Percent,0.237,302
Fort Greene/Brooklyn Hts,Grandparents,2017,Percent,0.271,302
Fort Greene/Brooklyn Hts,Other,2017,Percent,0.635,302
Bedford Stuyvesant,Married Couples,2017,Percent,0.406,303
Bedford Stuyvesant,Single Mothers,2017,Percent,0.445,303
Bedford Stuyvesant,Single Fathers,2017,Percent,0.48,303
Bedford Stuyvesant,Grandparents,2017,Percent,0.263,303
Bedford Stuyvesant,Other,2017,Percent,0.303,303
Bushwick,Married Couples,2017,Percent,0.241,304
Bushwick,Single Mothers,2017,Percent,0.683,304
Bushwick,Single Fathers,2017,Percent,0.199,304
Bushwick,Grandparents,2017,Percent,0.408,304
Bushwick,Other,2017,Percent,0.254,304
East New York,Married Couples,2017,Percent,0.241,305
East New York,Single Mothers,2017,Percent,0.494,305
East New York,Single Fathers,2017,Percent,0.126,305
East New York,Grandparents,2017,Percent,0.234,305
East New York,Other,2017,Percent,0.273,305
Park Slope,Married Couples,2017,Percent,0.013,306
Park Slope,Single Mothers,2017,Percent,0.361,306
Park Slope,Single Fathers,2017,Percent,0.028,306
Park Slope,Grandparents,2017,Percent,0.195,306
Park Slope,Other,2017,Percent,0.183,306
Sunset Park,Married Couples,2017,Percent,0.33,307
Sunset Park,Single Mothers,2017,Percent,0.613,307
Sunset Park,Single Fathers,2017,Percent,0.203,307
Sunset Park,Grandparents,2017,Percent,0.491,307
Sunset Park,Other,2017,Percent,0.307,307
Crown Heights North,Married Couples,2017,Percent,0.128,308
Crown Heights North,Single Mothers,2017,Percent,0.458,308
Crown Heights North,Single Fathers,2017,Percent,0.556,308
Crown Heights North,Grandparents,2017,Percent,0.224,308
Crown Heights North,Other,2017,Percent,0.379,308
Crown Heights South,Married Couples,2017,Percent,0.245,309
Crown Heights South,Single Mothers,2017,Percent,0.329,309
Crown Heights South,Single Fathers,2017,Percent,0.183,309
Crown Heights South,Grandparents,2017,Percent,0.119,309
Crown Heights South,Other,2017,Percent,0.059,309
Bay Ridge,Married Couples,2017,Percent,0.132,310
Bay Ridge,Single Mothers,2017,Percent,0.275,310
Bay Ridge,Single Fathers,2017,Percent,0.291,310
Bay Ridge,Grandparents,2017,Percent,0.216,310
Bay Ridge,Other,2017,Percent,0.385,310
Bensonhurst,Married Couples,2017,Percent,0.201,311
Bensonhurst,Single Mothers,2017,Percent,0.302,311
Bensonhurst,Single Fathers,2017,Percent,0.436,311
Bensonhurst,Grandparents,2017,Percent,0.148,311
Bensonhurst,Other,2017,Percent,0.158,311
Borough Park,Married Couples,2017,Percent,0.399,312
Borough Park,Single Mothers,2017,Percent,0.638,312
Borough Park,Single Fathers,2017,Percent,0.375,312
Borough Park,Grandparents,2017,Percent,0.364,312
Borough Park,Other,2017,Percent,0.271,312
Coney Island,Married Couples,2017,Percent,0.271,313
Coney Island,Single Mothers,2017,Percent,0.336,313
Coney Island,Single Fathers,2017,Percent,0.321,313
Coney Island,Grandparents,2017,Percent,0.302,313
